Ticker;Name;Exchange;Category Name;
BTI;British American Tobacco plc;ASE;Cigarettes
TIS;Orchids Paper Products Company;ASE;Cleaning Products
RWC;RELM Wireless Corp.;ASE;Communication Equipment
BDR;Blonder Tongue Laboratories Inc.;ASE;Communication Equipment
WTT;Wireless Telecom Group Inc.;ASE;Communication Equipment
MCZ;Mad Catz Interactive Inc.;ASE;Computer Peripherals
SEB;Seaboard Corp.;ASE;Conglomerates
EVI;EnviroStar, Inc.;ASE;Consumer Services
NSU;Nevsun Resources Ltd.;ASE;Copper
PTN;Palatin Technologies Inc.;ASE;Diagnostic Substances
STRP;Straight Path Communications Inc.;ASE;Diversified Communication Services
GLOW;Glowpoint, Inc.;ASE;Diversified Communication Services
OESX;Orion Energy Systems, Inc;ASE;Diversified Electronics
SLI;SL Industries Inc.;ASE;Diversified Electronics
ESP;Espey Mfg. & Electronics Corp.;ASE;Diversified Electronics
WGA;"AG&E; Holdings, Inc.";ASE;Diversified Electronics
DPW;Digital Power Corp.;ASE;Diversified Electronics
ADGE;American DG Energy, Inc.;ASE;Diversified Machinery
INS;Intelligent Systems Corporation;ASE;Diversified Machinery
CUO;Continental Materials Corp.;ASE;Diversified Machinery
GRC;Gorman-Rupp Co.;ASE;Diversified Machinery
HTM;U.S. Geothermal Inc.;ASE;Diversified Utilities
AXN;Aoxing Pharmaceutical Company, Inc.;ASE;Drug Manufacturers - Major
PVCT;Provectus Biopharmaceuticals, Inc.;ASE;Drug Manufacturers - Major
TXMD;TherapeuticsMD, Inc.;ASE;Drug Manufacturers - Major
NNVC;NanoViricides, Inc.;ASE;Drug Manufacturers - Major
CPHI;China Pharma Holdings, Inc.;ASE;Drug Manufacturers - Major
TPI;Tianyin Pharmaceutical Co., Inc.;ASE;Drug Manufacturers - Other
ELLO;Ellomay Capital Ltd.;ASE;Electric Utilities
MSN;Emerson Radio Corp.;ASE;Electronic Equipment
TOF;Tofutti Brands Inc.;ASE;Food - Major Diversified
DIT;AMCON Distributing Co.;ASE;Food Wholesale
CQH;Cheniere Energy Partners LP Holdings, LLC;ASE;Gas Utilities
EGAS;Gas Natural Inc.;ASE;Gas Utilities
RBY;Rubicon Minerals Corporation;ASE;Gold
MDW;Midway Gold Corp.;ASE;Gold
THM;International Tower Hill Mines Ltd.;ASE;Gold
EGI;"EntrŽe Gold Inc.
";ASE;Gold
SAND;Sandstorm Gold Ltd.;ASE;Gold
NG;NovaGold Resources Inc.;ASE;Gold
VGZ;Vista Gold Corp.;ASE;Gold
TRX;Tanzanian Royalty Exploration Corp.;ASE;Gold
GSS;Golden Star Resources, Ltd.;ASE;Gold
RIC;Richmont Mines Inc.;ASE;Gold
MGH;Minco Gold Corporation;ASE;Gold
TGD;Timmins Gold Corp.;ASE;Gold
GSV;Gold Standard Ventures Corp;ASE;Gold
GTU;Central GoldTrust;ASE;Gold
XPL;Solitario Exploration & Royalty Corp.;ASE;Gold
LODE;Comstock Mining, Inc.;ASE;Gold
LSG;Lake Shore Gold Corp.;ASE;Gold
AAU;Almaden Minerals Ltd.;ASE;Gold
BTG;B2Gold Corp.;ASE;Gold
SVLC;Silvercrest Mines Inc.;ASE;Gold
NGD;New Gold, Inc.;ASE;Gold
BAA;Banro Corporation;ASE;Gold
XRA;Exeter Resource Corporation;ASE;Gold
ANV;Allied Nevada Gold Corp.;ASE;Gold
GORO;Gold Resource Corp;ASE;Gold
AKG;Asanko Gold Inc.;ASE;Gold
GV;Goldfield Corp.;ASE;Heavy Construction
LBY;Libbey Inc.;ASE;Home Furnishings & Fixtures
SSY;SunLink Health Systems Inc.;ASE;Hospitals
ACU;Acme United Corp.;ASE;Housewares & Accessories
LEI;Lucas Energy, Inc.;ASE;Independent Oil & Gas
YUMA;Yuma Energy, Inc.;ASE;Independent Oil & Gas
MCF;Contango Oil & Gas Company;ASE;Independent Oil & Gas
FPP;Fieldpoint Petroleum Corp.;ASE;Independent Oil & Gas
SARA;Saratoga Resources Inc.;ASE;Independent Oil & Gas
GBR;New Concept Energy, Inc.;ASE;Independent Oil & Gas
ENSV;Enservco Corporation;ASE;Independent Oil & Gas
TGC;Tengasco Inc.;ASE;Independent Oil & Gas
MXC;Mexco Energy Corporation;ASE;Independent Oil & Gas
HUSA;Houston American Energy Corp.;ASE;Independent Oil & Gas
EPM;Evolution Petroleum Corp.;ASE;Independent Oil & Gas
GTE;Gran Tierra Energy, Inc.;ASE;Independent Oil & Gas
CAK;CAMAC Energy, Inc.;ASE;Independent Oil & Gas
BRN;Barnwell Industries, Inc.;ASE;Independent Oil & Gas
ESTE;Earthstone Energy, Inc.;ASE;Independent Oil & Gas
AMZG;American Eagle Energy Corporation;ASE;Independent Oil & Gas
EOX;Emerald Oil, Inc.;ASE;Independent Oil & Gas
SPP;Sanchez Production Partners LLC;ASE;Independent Oil & Gas
GST;Gastar Exploration Inc.;ASE;Independent Oil & Gas
TPLM;Triangle Petroleum Corporation;ASE;Independent Oil & Gas
DEJ;Dejour Energy Inc.;ASE;Independent Oil & Gas
SVT;Servotronics Inc.;ASE;Industrial Electrical Equipment
ZBB;ZBB Energy Corporation;ASE;Industrial Electrical Equipment
LGL;The LGL Group, Inc.;ASE;Industrial Electrical Equipment
CCF;Chase Corporation;ASE;Industrial Equipment & Components
EMXX;Eurasian Minerals Inc.;ASE;Industrial Metals & Minerals
PAL;North American Palladium Ltd.;ASE;Industrial Metals & Minerals
AUMN;Golden Minerals Company;ASE;Industrial Metals & Minerals
TLR;Timberline Resources Corporation;ASE;Industrial Metals & Minerals
URG;UR-Energy Inc.;ASE;Industrial Metals & Minerals
DNN;Denison Mines Corp.;ASE;Industrial Metals & Minerals
ATL;Atlatsa Resources Corporation;ASE;Industrial Metals & Minerals
AXX;Alderon Iron Ore Corp.;ASE;Industrial Metals & Minerals
TAS;Tasman Metals Ltd.;ASE;Industrial Metals & Minerals
PZG;Paramount Gold and Silver Corp.;ASE;Industrial Metals & Minerals
REE;Rare Element Resources Ltd.;ASE;Industrial Metals & Minerals
AXU;Alexco Resource Corporation;ASE;Industrial Metals & Minerals
UAMY;United States Antimony Corp.;ASE;Industrial Metals & Minerals
AVL;Avalon Rare Metals Inc.;ASE;Industrial Metals & Minerals
PBM;Pacific Booker Minerals Inc.;ASE;Industrial Metals & Minerals
NAK;Northern Dynasty Minerals Ltd.;ASE;Industrial Metals & Minerals
SVBL;Silver Bull Resources, Inc.;ASE;Industrial Metals & Minerals
GMO;General Moly, Inc.;ASE;Industrial Metals & Minerals
UEC;Uranium Energy Corp.;ASE;Industrial Metals & Minerals
PLG;Platinum Group Metals Ltd.;ASE;Industrial Metals & Minerals
RVM;Revett Mining Company, Inc.;ASE;Industrial Metals & Minerals
PLM;Polymet Mining Corp.;ASE;Industrial Metals & Minerals
ASM;Avino Silver & Gold Mines Ltd.;ASE;Industrial Metals & Minerals
QRM;Quest Rare Minerals Ltd.;ASE;Industrial Metals & Minerals
NCQ;NovaCopper Inc.;ASE;Industrial Metals & Minerals
URZ;Uranerz Energy Corp.;ASE;Industrial Metals & Minerals
TGB;Taseko Mines Ltd.;ASE;Industrial Metals & Minerals
WYY;WidePoint Corp.;ASE;Information Technology Services
ISDR;Issuer Direct Corporation;ASE;Information Technology Services
EXE;Crexendo, Inc.;ASE;Information Technology Services
LOV;Spark Networks, Inc.;ASE;Internet Service Providers
VHC;VirnetX Holding Corp;ASE;Internet Software & Services
LTS;Ladenburg Thalmann Financial Services Inc.;ASE;Investment Brokerage - National
IFMI;Institutional Financial Markets, Inc.;ASE;Investment Brokerage - National
DGSE;DGSE Companies Inc.;ASE;Jewelry Stores
BGI;Birks Group Inc.;ASE;Jewelry Stores
ETAK;Elephant Talk Communications Corp.;ASE;Long Distance Carriers
NHC;National Healthcare Corp.;ASE;Long-Term Care Facilities
ADK;AdCare Health Systems Inc.;ASE;Long-Term Care Facilities
CVR;Chicago Rivet & Machine Co.;ASE;Machine Tools & Accessories
IMO;Imperial Oil Ltd.;ASE;Major Integrated Oil & Gas
SKY;Skyline Corp.;ASE;Manufactured Housing
NSPR;InspireMD, Inc.;ASE;Medical Appliances & Equipment
BONE;Bacterin International Holdings, Inc.;ASE;Medical Appliances & Equipment
APT;Alpha Pro Tech Ltd.;ASE;Medical Appliances & Equipment
HRT;Arrhythmia Research Technology Inc.;ASE;Medical Appliances & Equipment
ELMD;Electromed, Inc.;ASE;Medical Appliances & Equipment
DXR;Daxor Corp.;ASE;Medical Instruments & Supplies
BVX;Bovie Medical Corporation;ASE;Medical Instruments & Supplies
ISR;IsoRay, Inc.;ASE;Medical Instruments & Supplies
LBMH;Liberator Medical Holdings, Inc.;ASE;Medical Instruments & Supplies
RVP;Retractable Technologies, Inc.;ASE;Medical Instruments & Supplies
INFU;InfuSystem Holdings, Inc.;ASE;Medical Instruments & Supplies
ERB;ERBA Diagnostics, Inc.;ASE;Medical Instruments & Supplies
TRXC;TransEnterix, Inc.;ASE;Medical Instruments & Supplies
ONVO;Organovo Holdings, Inc.;ASE;Medical Laboratories & Research
SIF;SIFCO Industries Inc.;ASE;Metal Fabrication
MEA;Metalico Inc.;ASE;Metal Fabrication
IMH;Impac Mortgage Holdings Inc.;ASE;Mortgage Investment
MGT;MGT Capital Investments, Inc.;ASE;Multimedia & Graphics Software
MDM;Mountain Province Diamonds Inc.;ASE;Nonmetallic Mineral Mining
SSN;Samson Oil & Gas Limited;ASE;Oil & Gas Drilling & Exploration
VTG;Vantage Drilling Company;ASE;Oil & Gas Drilling & Exploration
NOG;Northern Oil and Gas, Inc.;ASE;Oil & Gas Drilling & Exploration
REI;Ring Energy, Inc.;ASE;Oil & Gas Drilling & Exploration
TAT;TransAtlantic Petroleum Ltd.;ASE;Oil & Gas Drilling & Exploration
SYRG;Synergy Resources Corporation;ASE;Oil & Gas Equipment & Services
SDPI;Superior Drilling Products, Inc.;ASE;Oil & Gas Equipment & Services
PED;PEDEVCO Corp.;ASE;Oil & Gas Equipment & Services
LNG;Cheniere Energy, Inc.;ASE;Oil & Gas Pipelines
CQP;Cheniere Energy Partners LP.;ASE;Oil & Gas Pipelines
ENRJ;EnerJex Resources, Inc.;ASE;Oil & Gas Refining & Marketing
AE;Adams Resources & Energy Inc.;ASE;Oil & Gas Refining & Marketing
ONP;Orient Paper, Inc.;ASE;Paper & Paper Products
BTN;Ballantyne Strong, Inc;ASE;Photographic Equipment & Supplies
LIQT;LiqTech International, Inc.;ASE;Pollution & Treatment Controls
GRH;GreenHunter Resources, Inc.;ASE;Pollution & Treatment Controls
IEC;IEC Electronics Corp.;ASE;Printed Circuit Boards
ALN;American Lorain Corporation;ASE;Processed & Packaged Goods
CKX;CKX Lands Inc.;ASE;Property Management
IOT;Income Opportunity Realty Investors Inc.;ASE;Real Estate Development
CTO;Consolidated Tomoka Land Co.;ASE;Real Estate Development
NEN;New England Realty Associates LP;ASE;Real Estate Development
SGB;Southwest Georgia Financial Corp.;ASE;Regional - Mid-Atlantic Banks
FWV;First West Virginia Bancorp Inc.;ASE;Regional - Mid-Atlantic Banks
PRK;Park National Corp.;ASE;Regional - Midwest Banks
TMP;Tompkins Financial Corporation;ASE;Regional - Northeast Banks
BHB;Bar Harbor Bankshares;ASE;Regional - Northeast Banks
EVBN;Evans Bancorp Inc.;ASE;Regional - Northeast Banks
FPI;Farmland Partners Inc.;ASE;REIT - Diversified
PW;Power REIT;ASE;REIT - Diversified
IHT;Innsuites Hospitality Trust;ASE;REIT - Hotel/Motel
ORM;Owens Realty Mortgage, Inc.;ASE;REIT - Office
FSP;Franklin Street Properties Corp.;ASE;REIT - Office
HMG;HMG/Courtland Properties Inc.;ASE;REIT - Retail
RPI;Roberts Realty Investors Inc.;ASE;REIT - Retail
ACY;AeroCentury Corp.;ASE;Rental & Leasing Services
UWN;Nevada Gold & Casinos Inc.;ASE;Resorts & Casinos
FRS;Frisch's Restaurants, Inc.;ASE;Restaurants
CMT;Core Molding Technologies Inc.;ASE;Rubber & Plastics
BKJ;Bancorp Of New Jersey, Inc.;ASE;Savings & Loans
CIX;CompX International Inc.;ASE;Security & Protection Services
UUU;Universal Security Instruments Inc.;ASE;Security & Protection Services
MOC;Command Security Corp.;ASE;Security & Protection Services
VII;Vicon Industries, Inc.;ASE;Security Software & Services
API;Advanced Photonix Inc.;ASE;Semiconductor - Integrated Circuits
INTT;inTEST Corp.;ASE;Semiconductor - Integrated Circuits
GIG;GigOptix, Inc.;ASE;Semiconductor Equipment & Materials
EMAN;eMagin Corp.;ASE;Semiconductor Equipment & Materials
TRT;Trio-Tech International;ASE;Semiconductor Equipment & Materials
OSGB;Overseas Shipholding Group Inc.;ASE;Shipping
MVG;MAG Silver Corp.;ASE;Silver
GPL;Great Panther Silver Ltd;ASE;Silver
MGN;Mines Management, Inc.;ASE;Silver
HH;Hooper Holmes Inc.;ASE;Specialized Health Services
AMS;American Shared Hospital Services;ASE;Specialized Health Services
FSI;Flexible Solutions International Inc.;ASE;Specialty Chemicals
BDL;Flanigan's Enterprises Inc.;ASE;Specialty Eateries
JOB;General Employment Enterprises Inc.;ASE;Staffing & Outsourcing Services
VISI;Volt Information Sciences Inc.;ASE;Staffing & Outsourcing Services
MHH;Mastech Holdings, Inc.;ASE;Staffing & Outsourcing Services
BGSF;BG Staffing, Inc.;ASE;Staffing & Outsourcing Services
CTP;CTPartners Executive Search Inc.;ASE;Staffing & Outsourcing Services
FRD;Friedman Industries, Incorporated;ASE;Steel & Iron
SIM;Grupo Simec S.A.B. de C.V.;ASE;Steel & Iron
IGC;India Globalization Capital, Inc.;ASE;Steel & Iron
VSR;Versar Inc.;ASE;Technical Services
ALTV;Alteva, Inc.;ASE;Telecom Services - Domestic
EVK;Ever-Glory International Group, Inc.;ASE;Textile - Apparel Clothing
APP;American Apparel, Inc.;ASE;Textile - Apparel Clothing
DLA;Delta Apparel Inc.;ASE;Textile - Apparel Clothing
STS;Supreme Industries Inc.;ASE;Trucks & Other Vehicles
AWX;Avalon Holdings Corp.;ASE;Waste Management
GSAT;Globalstar Inc.;ASE;Wireless Communications
ERH;Wells Fargo Advantage Utilities;ASE;
MHR-PC;Magnum Hunter Resources Corpora;ASE;
MXN;First American Minnesota Munici;ASE;
CEP;Constellation Energy Partners LLC;ASE;
NMZ;Nuveen Municipal High Income Opportunity Fund;ASE;
PHF;Pacholder High Yield Fund, Inc.;ASE;
EVV;Eaton Vance Limited Duration Income Fund;ASE;
NBW;Neuberger Berman California Int;ASE;
SOQ;Sonde Resources Corp.;ASE;
NVG;Nuveen Dividend Advantage Munic;ASE;
CRF;Cornerstone Total Return Fund, ;ASE;
IF;Aberdeen Indonesia Fund, Inc. (;ASE;
CEF;Central Fund of Canada Limited;ASE;
GLO;Clough Global Opportunities Fun;ASE;
BZM;BlackRock Maryland Municipal Bond Trust;ASE;
CH;Aberdeen Chile Fund, Inc. (The);ASE;
GRH-PC;GreenHunter Resources, Inc. 10%;ASE;
AINC;Ashford, Inc.;ASE;
UTG;Reaves Utility Income Fund;ASE;
EVJ;Eaton Vance New Jersey Municipa;ASE;
QMM;Quaterra Resources Inc.;ASE;
LTS-PA;Ladenburg Thalmann Financial Se;ASE;
PCG-PH;Pacific Gas & Electric Co. 4.50;ASE;
KIQ;Kelso Technologies Inc.;ASE;
HNW;Pioneer Diversified High Income;ASE;
SBI;Western Asset Intermediate Muni;ASE;
FAX;Aberdeen Asia-Pacific Income Fu;ASE;
BCV;Bancroft Fund Ltd.;ASE;
PDO;Pyramid Oil Company;ASE;
EVO;Eaton Vance Ohio Municipal Inco;ASE;
NGX;Nuveen Massachusetts AMT- Free ;ASE;
EMI;Eaton Vance Michigan Municipal ;ASE;
APTS;Preferred Apartment Communities, Inc.;ASE;
NMB;Nuveen Massachusetts Dividend Advantage Municipal Fund;ASE;
PARR;Par Petroleum Corporation;ASE;
ZZZ;;ASE;
GRF;Eagle Capital Growth Fund, Inc.;ASE;
VSB;VantageSouth Bancshares, Inc.;ASE;
BHV;BlackRock Virginia Municipal Bond Trust;ASE;
DHY;Credit Suisse High Yield Bond F;ASE;
LAQ;Aberdeen Latin America Equity Fund, Inc.;ASE;
IAF;Aberdeen Australia Equity Fund ;ASE;
IBO;IBO (Listing Market - NYSE Amex;ASE;
CTF;Nuveen Long/Short Commodity Tot;ASE;
EIM;Eaton Vance Municipal Bond Fund;ASE;
VMM;Delaware Investments Minnesota ;ASE;
ERC;Wells Fargo Advantage Multi-Sec;ASE;
NKG-PE;Nuveen Georgia Dividend Advanta;ASE;
NCU;Nuveen California Premium Incom;ASE;
MVF;BlackRock MuniVest Fund, Inc.;ASE;
AQQ;American Spectrum Realty Inc.;ASE;
TSH;Teche Holding Company;ASE;
MAB;Eaton Vance Massachusetts Munic;ASE;
EMJ;Eaton Vance New Jersey Municipa;ASE;
EIV;Eaton Vance Municipal Bond Fund;ASE;
NHS;Neuberger Berman High Yield Str;ASE;
NJV;Nuveen New Jersey Municipal Val;ASE;
BLJ;BlackRock New Jersey Municipal Bond Trust;ASE;
FEN;First Trust Energy Income and G;ASE;
GST-PB;Gastar Exploration Inc. Pfd Ser;ASE;
RIF;RMR Real Estate Income Fund;ASE;
NMB-PC;Nuveen Massachusetts Dividend A;ASE;
MZA;BlackRock Muniyield Arizona Fund, Inc.;ASE;
EIO;Eaton Vance Ohio Municipal Bond;ASE;
DMF;Dreyfus Municipal Income, Inc. ;ASE;
ECF;Ellsworth Fund Ltd.;ASE;
MHR-PD;Magnum Hunter Resources Corpora;ASE;
BPS;BlackRock Pennsylvania Strategic Municipal Trust Fund;ASE;
EVP;Eaton Vance Pennsylvania Munici;ASE;
MIW;Eaton Vance Michigan Municipal ;ASE;
NZH;Nuveen California Dividend Advantage Municipal Fund 3;ASE;
BLE;BlackRock Municipal Income Trust II;ASE;
VCF;Delaware Investments Colorado M;ASE;
ETF;Aberdeen Emerging Markets Compa;ASE;
BQY;"BlackRock S&P; Quality Rankings Global Equity Managed Trust";ASE;
NRO;Neuberger Berman Real Estate Se;ASE;
UUUU;Energy Fuels Inc.;ASE;
NXZ;Nuveen Dividend Advantage Munic;ASE;
LON;Loncor Resources Inc.;ASE;
NUJ;Nuveen New Jersey Dividend Adva;ASE;
EIA;Eaton Vance California Municipal Bond Fund II;ASE;
FTF;Franklin Templeton Limited Duration Income Trust;ASE;
NHC-PA;National HealthCare Corporation;ASE;
IRT;Independence Realty Trust, Inc.;ASE;
NZF;Nuveen Dividend Advantage Munic;ASE;
NYV;Nuveen New York Municipal Value;ASE;
CFD;Nuveen Diversified Commodity Fu;ASE;
CLM;Cornerstone Strategic Value Fund Inc.;ASE;
AINC-WI;Ashford Inc. Common Stock When ;ASE;
CEV;Eaton Vance California Municipa;ASE;
GLQ;Clough Global Equity Fund Cloug;ASE;
NYH;Eaton Vance New York Municipal ;ASE;
MHR-PE;Magnum Hunter Resources Corpora;ASE;
NCB;Nuveen California Municipal Val;ASE;
AZC;Augusta Resource Corp.;ASE;
GGN;GAMCO Global Gold, Natural Reso;ASE;
EVM;Eaton Vance California Municipa;ASE;
ENX;Eaton Vance New York Municipal ;ASE;
CFP;Cornerstone Progressive Return ;ASE;
EIP;Eaton Vance Pennsylvania Munici;ASE;
ICH;Investors Capital Holdings, Ltd.;ASE;
VFL;Delaware Investments National M;ASE;
BFY;BlackRock New York Municipal In;ASE;
MMV;Eaton Vance Massachusetts Munic;ASE;
DAKP;Dakota Plains Holdings, Inc.;ASE;
MHE;BlackRock Massachusetts Tax-Exe;ASE;
NPN;Nuveen Pennsylvania Municipal V;ASE;
FU;FAB Universal Corporation;ASE;
VKI;Invesco Advantage Municipal Inc;ASE;
GLV;Clough Global Allocation Fund C;ASE;
NOM;Nuveen Missouri Premium Income ;ASE;
RCG;RENN Global Entrepreneurs Fund, Inc.;ASE;
NML;Neuberger Berman MLP Income Fun;ASE;
BRG;Bluerock Residential Growth REIT, Inc.;ASE;
YUMA-PA;Yuma Energy, Inc. 9.25% Series ;ASE;
NBO;Neuberger Berman New York Inter;ASE;
JRS;Nuveen Real Estate Income Fund;ASE;
CCA;MFS California Municipal Fund C;ASE;
MXA;Minnesota Municipal Income Port;ASE;
FCO;Aberdeen Global Income Fund, In;ASE;
NXK;Nuveen New York Dividend Advant;ASE;
NBH;Neuberger Berman Intermediate M;ASE;
ETUB;eUnits 2 Year U.S. Market Parti;ASE;
WRN;Western Copper and Gold Corporation;ASE;
CIK;Credit Suisse Asset Management Income Fund Inc.;ASE;
IPB;Merrill Lynch & Co., Inc. 6.051;ASE;
EAD;Wells Fargo Advantage Income Opportunities Fund;ASE;
ISL;Aberdeen Israel Fund, Inc. (The;ASE;
EVY;Eaton Vance New York Municipal ;ASE;
NVX;Nuveen California Dividend Advantage Municipal Fund 2;ASE;
AUB.AX;Austbrokers Holdings Limited;ASX;Accident & Health Insurance
NHF.AX;NIB Holdings Limited;ASX;Accident & Health Insurance
QXQ.AX;Q Limited;ASX;Advertising Agencies
EOS.AX;Electro Optic Systems Holdings Limited;ASX;Aerospace/Defense - Major Diversified
QHL.AX;Quickstep Holdings Limited;ASX;Aerospace/Defense - Major Diversified
NUF.AX;Nufarm Limited;ASX;Agricultural Chemicals
IPL.AX;Incitec Pivot Limited;ASX;Agricultural Chemicals
TOL.AX;Toll Holdings Limited;ASX;Air Delivery & Freight Services
KSC.AX;K & S Corporation Limited;ASX;Air Delivery & Freight Services
QUB.AX;Qube Holdings Limited;ASX;Air Delivery & Freight Services
SFH.AX;Specialty Fashion Group Limited;ASX;Apparel Stores
KMD.AX;Kathmandu Holdings Limited;ASX;Apparel Stores
AWN.AX;Arowana International Limited;ASX;Asset Management
AHA.AX;AG Financial Ltd;ASX;Asset Management
AQU.AX;Aquaint Capital Holdings Limited;ASX;Asset Management
MGP.AX;Managed Accounts Holdings Limited;ASX;Asset Management
QVE.AX;QV Equities Limited;ASX;Asset Management
IFL.AX;IOOF Holdings Limited;ASX;Asset Management
ASX.AX;ASX Limited;ASX;Asset Management
YBR.AX;Yellow Brick Road Holdings Limited;ASX;Asset Management
